borrower_id,loan_id,default_date,default_flag
1935,3336,,False
1935,22877,2016-11-06 23:59:59,True
1942,742,2013-05-20 17:54:21,True
1943,659,2013-09-14 04:11:57,True
1945,1267,,False
1945,3267,,False
1951,509,,False
1951,4157,,False
1951,18229,2015-12-13 23:59:59,True
1958,590,,False
1958,3165,,False
1958,28262,2016-10-20 23:59:59,True
1962,555,2013-11-22 16:01:30,True
1965,524,,False
1965,1930,,False
1965,6627,,False
1965,22283,,False
1965,34751,2016-10-30 23:59:59,True
1968,719,,False
1968,3959,,False
1968,5915,2016-03-03 23:00:00,True
1969,684,,False
1969,2825,,False
1969,6681,,False
1969,25018,2016-12-14 23:59:59,True
1970,598,,False
1973,1236,2014-01-19 18:00:00,True
1974,685,,False
1974,3060,2015-01-14 23:00:00,True
1978,591,,False
1978,3429,,False
1978,17642,2016-04-17 23:59:59,True
1980,539,,False
1980,2185,2014-01-14 23:00:00,True
1984,552,,False
1984,964,2013-05-27 19:00:00,True
1987,709,,False
1987,1308,,False
1987,2928,,False
1987,9021,2014-09-09 17:23:25,True
1988,529,2013-11-06 03:42:57,True
1997,537,,False
1997,1383,,False
1999,1330,2013-07-14 19:00:00,True
2000,1280,2013-09-09 19:00:00,True
2002,531,,False
2002,2259,,False
2002,5796,2014-09-13 17:03:40,True
2008,557,,False
2008,4259,2014-12-09 23:00:00,True
2010,683,2013-09-27 14:17:40,True
2011,1140,2013-10-24 19:00:00,True
2013,795,2013-09-24 19:00:00,True
2015,808,,False
2016,812,2014-02-09 18:00:00,True
2022,788,2013-11-19 18:00:00,True
2023,794,,False
2024,786,2014-01-14 18:00:00,True
2025,877,2013-12-09 18:00:00,True
2026,1192,2013-12-24 18:00:00,True
2028,1054,2014-01-14 18:00:00,True
2032,1217,,False
2032,3940,2014-06-15 00:00:00,True
2033,1374,2014-02-14 23:00:00,True
2040,821,,False
2044,1251,2014-06-09 19:00:00,True
2046,868,,False
2046,4570,2014-04-15 00:00:00,True
2048,1287,,False
2048,3059,,False
2048,15913,2016-10-02 23:59:59,True
2051,1092,2014-07-19 19:00:00,True
2052,827,,False
2052,3191,2014-02-14 23:00:00,True
2053,585,,False
2053,3192,2014-02-14 23:00:00,True
2056,896,2013-12-14 18:00:00,True
2057,618,,False
2057,1480,2013-08-15 00:00:00,True
2058,530,2013-02-02 05:45:58,True
2060,532,2013-02-06 03:46:09,True
2061,534,,False
2061,1394,2014-03-08 18:00:00,True
2062,535,,False
2062,1036,,False
2062,3102,2015-01-24 23:00:00,True
2073,704,,False
2073,4011,2014-07-20 00:00:00,True
2074,600,,False
2074,3177,,False
2074,7490,2014-10-17 01:30:09,True
2075,829,,False
2075,4341,,False
2075,6179,,False
2075,13029,,False
2075,28215,2016-11-06 23:59:59,True
2081,1023,2013-03-14 19:00:00,True
2111,1129,2013-05-04 19:00:00,True
2112,536,2013-06-12 09:15:00,True
2123,816,,False
2123,4066,,False
2123,25409,2016-04-03 23:59:59,True
2127,1311,,False
2127,3361,,False
2127,10664,2015-06-07 17:12:20,True
2138,644,2013-02-18 12:40:58,True
2143,548,2013-05-11 08:46:40,True
2144,665,2013-04-17 05:58:33,True
2169,575,,False
2169,911,2013-06-29 19:00:00,True
2170,569,,False
2170,915,2013-09-19 19:00:00,True
2184,835,,False
2187,723,,False
2188,632,2013-06-04 03:56:03,True
2190,706,2013-10-07 19:12:52,True
2191,1291,,False
2195,748,,False
2195,4530,,False
2197,884,2013-05-14 19:00:00,True
2201,830,,False
2202,831,2013-10-27 19:00:00,True
2204,1173,2013-10-14 19:00:00,True
2223,943,2013-09-14 19:00:00,True
2231,556,2012-11-12 08:15:29,True
2232,637,,False
2232,3479,2014-10-15 00:00:00,True
2239,638,,False
2239,2181,,False
2239,4209,,False
2239,27416,2016-10-07 23:59:59,True
2245,631,,False
2245,3519,2014-12-14 23:00:00,True
2248,740,,False
2248,3206,,False
2248,27154,,False
2248,33839,2016-11-06 23:59:59,True
2249,603,2013-03-22 17:05:35,True
2250,1921,2013-10-30 00:00:00,True
2257,1032,2013-12-14 18:00:00,True
2263,747,2013-03-04 19:36:10,True
2265,750,2013-02-09 18:00:00,True
2272,1307,2013-08-09 19:00:00,True
2277,649,2013-08-14 04:11:14,True
2286,673,,False
2286,2666,,False
2286,9417,,False
2286,36394,2016-11-04 23:59:59,True
2287,628,,False
2287,2202,,False
2287,4870,,False
2287,10721,,False
2287,26930,2016-11-13 23:59:59,True
2288,861,2013-06-09 19:00:00,True
2289,951,,False
2289,4759,2015-01-15 23:00:00,True
2290,657,,False
2290,3035,2017-01-14 23:00:00,True
2301,593,,False
2301,1355,,False
2301,5040,2014-07-07 00:00:00,True
2302,949,,False
2302,3935,2014-04-15 00:00:00,True
2317,714,,False
2317,1406,,False
2317,2398,,False
2317,3569,2014-03-25 00:00:00,True
2319,654,,False
2319,2763,,False
2329,713,,False
2329,4616,,False
2339,738,,False
2339,2921,,False
2340,910,,False
2340,4230,2014-12-11 23:00:00,True
2349,634,2013-08-04 03:55:37,True
2350,1076,,False
2350,6203,2014-07-26 00:00:00,True
2351,679,,False
2351,4050,,False
2351,26968,2016-10-09 23:59:59,True
2353,633,,False
2354,674,2013-04-04 15:07:13,True
2360,728,2013-05-07 19:12:11,True
2362,629,2012-12-04 02:55:08,True
2365,623,2012-12-03 07:41:19,True
2381,661,,False
2381,3130,2014-10-15 00:00:00,True
2397,854,,False
2409,640,,False
2409,4569,2014-09-15 00:00:00,True
2411,708,2013-06-30 09:31:43,True
2412,619,2013-01-31 15:55:11,True
2415,1203,2014-03-06 18:00:00,True
2416,1221,2013-12-13 18:00:00,True
2419,1151,2013-05-14 19:00:00,True
